# Open Chinese Convert (OpenCC) Dictionary
# File: SealCharactersRev.txt (Generated from: SealCharacters.txt)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/byvoid/OpenCC

㐁	𽙪
㐅	𿭺
㐭	𽽍
㐰	𽛁
㐱	𾦻
㐹	𾚩
㐺	𾞞
㑂	𾚼
㑄	𾝁
㑗	𾝨
㑞	𾜗
㑥	𾝄
㑮	𾙿
㑴	𾛹
㑵	𾝂
㑷	𾺸
㑾	𾜼
㒄	𾜜
㒍	𾛬
㒤	𾛍
㒫	𾤷
㒰	𽼁
㒳	𾗈
㒸	𽌨
㒻	𾗇
㒼	𾗊
㓃	𾖺
㓖	𿆪
㓞	𽳈
㓠	𽲳
㓡	𽱵
㓷	𽲶
㓹	𿧭
㓼	𽲭
㔎	𽲌
㔣	𿥙
㔲	𽵑
㔳	𽵐
㔴	𿖨
㔶	𿖣
㔷	𿖖
㔹	𽚄
㕆	𾫴
㕇	𾫶
㕊	𾫹
㕋	𾫸
㕒	𾫧
㕗	𾩔
㕙	𾱞
㕚	𽢍
㕛	𽢰
㕜	𽢶
㕞	𽢛
㕡	𽭵
㕢	𽭷
㕣	𽐼
㕧	𽐌
㕯	𽙮
㖃	𾧽
㖾	𽑎
㗉	𽱷
㗊	𽙘
㗋	𽍼
㗐	𽏺
㗘	𽎜
㗬	𾎦
㗱	𽎑
㘈	𽎋
㘙	𽐎
㘝	𾇜
㘣	𾇌
㘥	𾇦
㙙	𿄸 𿢇
㙚	𿡩
㙠	𿣡
㙤	𿣘
㙩	𿡽
㙪	𿣤
㙶	𿢄
㙷	𿢭
㚇	𽽸
㚌	𾎤
㚎	𽹦
㚒	𾷅
㚔	𾷤
㚕	𾷀
㚖	𾸂
㚘	𾸉
㚢	𿑾
㚤	𿑿
㚩	𿒭
㚲	𿒷
㛂	𿒶
㛄	𿒍
㛅	𿒓
㛊	𿔁
㛍	𿔨 𿔩
㛥	𿓙
㛪	𿔳
㛮	𿑲
㛴	𿔽
㛼	𿔜
㜅	𿒘
㜇	𿔑
㜎	𿑻
㜗	𿔡
㜘	𿓻
㜝	𿔊
㜣	𿑍
㜮	𿔴
㜺	𿒦
㜽	𿮱
㝃	𿮴
㝅	𿮶
㝌	𾓭
㝐	𾓐
㝗	𾒾
㝛	𾓠
㝢	𾒷
㝣	𾓅
㝥	𾕁
㝪	𾓹
㝮	𾓶
㝱	𾔻
㝲	𾔼
㝼	𾷞
㝾	𾷗
㝿	𾷖
㞁	𾷘
㞏	𾡦
㞑	𾡷
㞒	𾡛
㞓	𾡣
㞕	𾡜
㞚	𾡥
㞟	𾡘
㞡	𾡝
㞣	𽄣
㞥	𽻿
㞦	𾩥
㞷	𾆖
㞼	𽟊
㟚	𾉅
㠀	𾩞
㠭	𽷆
㠯	𿯛
㠱	𿮞
㠲	𾘣
㠴	𾘇
㠷	𾘽
㠾	𾘬
㡀	𾙤
㡃	𾘌
㡄	𾘏
㡇	𾙇
㡉	𾙄
㡏	𾘥
㡒	𾘼
㡓	𾘖
㡔	𾙅
㡘	𾘞
㡜	𾘤
㡨	𾘯
㡪	𾙀
㡭	𿘲
㡯	𾒬
㡲	𾫂
㡹	𾫘
㡿	𾫚
㢈	𾫒
㢉	𾫆
㢋	𾫄
㢚	𾪴
㢟	𽖡
㢪	𿗭
㢴	𿊄
㢸	𿘀
㣆	𿗯
㣇	𾭳 𾭵
㣈	𾭼
㣋	𽺂
㣎	𾧁
㣙	𽖊
㣛	𽻷
㣤	𽖅
㣫	𽖔
㣻	𾽌
㣽	𾹖
㤀	𾻅
㤁	𾽄
㤂	𾺞
㤅	𾹽
㤥	𾼹
㤨	𾼸
㤮	𾻌
㤲	𾼮
㥆	𾺎
㥋	𾼎
㥏	𾽃
㥒	𾺲
㥛	𾺠
㥝	𾽋
㥞	𾹭
㥟	𾻴
㥠	𾹿
㥥	𾺗
㥦	𾸺
㥯	𾹢
㥴	𾹛
㥶	𾻙
㦁	𾽉
㦌	𾺜
㦚	𾺟
㦛	𾺏
㦣	𾻣
㦽	𾎌
㦿	𿊐
㧁	𿊘
㧖	𿍆
㧗	𿍡
㧘	𿎒
㧢	𿏠
㧺	𿏫
㨎	𿎫
㨐	𿐊
㨔	𿏖
㨖	𿏸
㨜	𿏄
㨡	𿏭
㨷	𿍯
㨻	𿎊
㩃	𿏐
㩅	𿏆
㩒	𿌶
㩓	𿐒
㩴	𿌴
㩻	𾬉
㪅	𽤧
㪋	𽤡
㪏	𽥚
㪒	𽥛
㪔	𾒍
㪤	𽥅
㪵	𿩾
㪺	𿩽
㪻	𿪀
㪿	𽋍
㫃	𾍗 𾍘
㫄	𽀋
㫍	𾍤
㫏	𾍥
㫐	𾌟
㫘	𾌼
㫱	𾌬
㫺	𾌶
㬎	𾌰
㬥	𾌱
㬧	𿚩
㬪	𾍽
㬫	𾌋
㬮	𾌯
㬰	𽊷
㬱	𾸢
㭁	𽿾
㭂	𾁯
㭉	𾃐
㭒	𾃒
㭔	𽿷
㭕	𾄶
㭘	𾃌
㭙	𾃹
㭟	𿐦
㭩	𾀆
㭰	𽓂
㮂	𾃽
㮄	𾄛
㮆	𾅔
㮐	𾃣
㮘	𽾹
㮚	𾎶
㮝	𾂆
㮞	𾂕
㮤	𾀸
㮨	𾁑
㮩	𽿭
㮯	𾅝
㮰	𾂣
㮴	𾅁
㮿	𾀈
㯉	𽿖
㯕	𾅬
㯟	𾆍
㯡	𾆿
㯥	𾆅
㯯	𿖤
㯰	𾂩
㯷	𾀁
㰋	𽿿
㰍	𾂭
㰘	𽿌
㰟	𾣶
㰣	𾤊
㰮	𾤕
㰯	𽹿
㰲	𾣬
㰶	𾤢
㰻	𽷼
㰾	𾤑
㱁	𾣴
㱂	𾤨
㱃	𾤬
㱇	𾤒
㱍	𾣨
㱎	𾤖
㱏	𽓅
㱕	𽒵
㱙	𽮔
㱚	𽮡 𽮢
㱦	𽮥
㱪	𽭿
㱯	𽮠
㱳	𽮎
㱻	𽮞 𽮟
㱽	𽣞
㱾	𽣭
㱿	𽣝
㲃	𽣪
㲈	𽠕
㲋	𾱓
㲦	𾡊
㲪	𾡒
㲱	𾧩
㲳	𿕟
㲻	𿂮
㲽	𾿧
㳄	𾤱
㳈	𾿘
㳬	𿁈
㳶	𾿲
㳷	𿁧
㳻	𿂕
㴑	𿂞
㴱	𾾞
㴲	𾿐
㴴	𿂬
㴶	𿃐
㵄	𾽻
㵋	𾾡
㵎	𿂉
㵣	𾤐
㵾	𿄦
㶁	𿃙
㶄	𿄾
㶅	𿂌
㶇	𿂚
㶗	𿆄
㶛	𾿤
㶟	𾿛
㶣	𾳹
㶳	𾴡
㶴	𾴾
㷖	𾴼
㷠	𾵮
㷭	𾵛
㷳	𾳳
㷷	𽱐
㷼	𿉧
㸋	𾶠
㸏	𾴘
㸒	𾞨
㸚	𽥷
㸹	𽍍
㹁	𽍉
㹂	𽍥
㹃	𽍡
㹊	𽍑
㹌	𽍗
㹑	𽍆
㹔	𽍒
㹛	𽍞
㹜	𾲾
㹞	𾱾
㹤	𾲌
㹥	𾱪
㹽	𾱹
㺅	𾲰
㺇	𾲿
㺉	𾲱
㺌	𾱲
㺑	𾱷
㺒	𾱶
㺕	𾱼
㺨	𽃠
㺮	𽃡
㺲	𿧌
㺺	𽂞
㺿	𽃎
㻝	𽂀
㻫	𽂨
㻸	𽃓
㼌	𾒤
㼎	𾒞
㼜	𽹓
㼝	𿗌
㼰	𿗎
㼱	𽤇
㼲	𿗗
㼸	𿗑
㼽	𿗖
㽁	𽡆
㽕	𾎭
㽘	𿤤
㽥	𿤙
㽱	𾕔
㽺	𾖤
㽽	𾖮
㽾	𾕗
㾁	𾖟
㾅	𾖢
㾈	𾕮
㾊	𽰍
㾓	𾖡
㾕	𾕜
㾜	𾖜
㾫	𾖉
㾺	𾕢
㿄	𾖥
㿛	𾕷
㿥	𾙞
㿾	𽹕
䀁	𽹌
䀆	𽹝
䀇	𽹐
䀊	𽹗
䀏	𽦿
䀗	𽧠
䀘	𽦠
䀛	𽦬
䀠	𽨂
䀣	𽦞
䀩	𽧮
䀶	𽧡
䀹	𽦆
䁂	𽦋
䁊	𽧓
䁍	𽧰
䁔	𽦎
䁙	𽧒
䁝	𽧳
䁴	𽦫
䂇	𿪋
䂹	𾬜
䂿	𾬽
䃍	𾬚
䃒	𾭂
䃺	𾬺
䃾	𽀺
䄏	𽁝
䄟	𽁀
䄪	𾏻
䄷	𾐵
䅁	𾐅
䅌	𾐛
䅓	𾆶
䅘	𾏸
䅣	𾐠
䅥	𾏿
䅩	𾆵
䅭	𾐟
䅵	𾐕
䆃	𾐦
䆅	𾐉
䆘	𾔺
䆞	𾔱
䆢	𾔒
䆯	𿓮
䆷	𾔔
䇂	𽞹
䇃	𾸓
䇐	𾸋
䇑	𾸝
䇔	𾸙
䇘	𽵭
䇟	𽱰
䇨	𽵊
