# Open Chinese Convert (OpenCC) Dictionary
# File: SealVariantsRev.txt (Generated from: SealVariants.txt)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/byvoid/OpenCC

㐹	仡
㑴	侵
㒰	仝
㕜	史
㖾	咢
㗐	嗑
㚌	夥
㚎	去
㝛	宿
㞑	尾
㞡	展
㞼	丞
㠯	以
㡿	斥
㢴	西
㣆	瓕
㤀	忘
㤂	急
㧖	扼
㨻	摲
㪅	更
㫄	旁
㫺	昔
㮄	榜
㱁	款
㱿	殼
㳄	涎
㳈	沛
㴑	溯 泝
㴱	深
㵎	澗
㷖	照
㷠	燐
㷼	燕
㺅	猴
㺮	玗
䀆	盡
䀹	睫
䊸	紆
䌄	綆
䍞	罭
䏈	聯
䑞	舜
䖹	蛘
䛡	話
䛶	誄
䝿	貴
䥘	錯
䯺	髺
䳘	鵝
丠	丘
丼	井
亾	亡
仿	仿 倣
倂	併
値	值
倶	俱
僃	備
僞	僞 偽
兌	兌 兑
冄	冉
刏	刉
劒	劍
勈	勇
勖	勗
匃	丐
匈	匈 胸
匘	腦
匩	匡
卽	即
叏	夬
叓	吏
叜	叟
咊	和
嗁	啼
嚔	嚏
囪	囪 囱
圅	函
埽	掃
塡	填
壠	壟
壿	墫
妝	妝 粧
媆	嫩
媼	媼 媪
嫺	嫺 嫻
嬀	嬀 媯
孼	孽
宂	冗
屛	屏
峯	峯 峰
巖	巖 岩
巛	川
巵	卮
帀	匝
帬	裙
幺	幺 么
弻	弼
徧	遍
忼	慷
怳	恍
恖	思
慍	慍 愠
慙	慚
慽	慼
懜	懵
戶	戶 户
戼	卯
扝	扜
拏	拿
拕	拖
挂	挂 掛
挩	挩 捝
捦	擒
揫	揪
搫	搬
搯	掏
搵	搵 揾
撆	撇
擈	撲
擣	搗
擥	攬 㩜
擧	舉
擿	擲
攩	擋
敍	敘
敓	敓 敚
敱	敳
敽	敿
斅	斆
旳	的
昰	是
晧	皓
暜	普
曁	暨
曬	曬 晒
朒	肭
朶	朵
杇	圬
柰	奈
梲	梲 棁
棱	棱 稜
椶	棕
槩	概
槸	槷
檐	檐 簷
歬	前
殽	淆
污	污 汙
汽	汽 汔
沈	沈 沉
泄	泄 洩
涌	涌 湧
涗	涗 涚
準	準 准
溫	溫 温
潀	潨
潊	漵
濅	寖
濇	澀
灮	光
煇	輝
煑	煮
煖	煖 暖
熅	熅 煴
熋	熊
燄	燄 焰
燾	燾 燽
燿	耀
爲	爲 為
牀	牀 床
琅	琅 瑯
畁	畀
畎	畎 甽
畱	留
痹	痹 痺
瘉	瘉 癒
瘨	癲
瘻	瘺
癡	癡 痴
盌	碗
眞	真
硏	研
祕	祕 秘
秃	禿
秊	年
秌	秋
秏	耗
秔	粳
稅	稅 税
稬	糯
稺	稚
稾	稿
穅	糠
竆	窮
竝	並
筓	笄
筱	篠
箇	箇 個
糉	糉 粽 糭
絝	褲
緜	綿
緥	褓
縕	縕 緼
繮	繮 韁
网	罔
羣	羣 群
翄	翅
肎	肯
肧	胚
胊	朐
脃	脆
脫	脫 脱
臥	臥 卧
舓	舐
芈	羋
芌	芋
芔	卉
荅	答
荆	荊
葘	菑
葢	蓋
蔥	蔥 葱
蔿	蔿 蒍
藷	藷 薯
虗	虛
蛕	蛔
蛻	蛻 蜕
蜋	螂
蜨	蝶
蝡	蠕
蝨	蝨 虱
蝯	猿
螘	蟻
蠃	螺
蠏	蟹
裏	裏 裡
襃	褒
詤	謊
說	說 説
譌	訛
豓	豔
貍	貍 狸
赶	趕
趮	躁
踊	踊 踴
蹋	蹋 踏
蹏	蹄
蹻	蹺
軶	軛
輧	軿
輺	輜
轀	轀 輼
迆	迆 迤
迹	跡
邨	村
郶	部
醞	醞 醖
釬	焊 銲
鉏	鋤
鉤	鉤 鈎
銳	銳 鋭
鍼	鍼 針
鍿	錙
鎌	鐮
鎒	耨
鎔	鎔 熔
鎭	鎮
鐗	鐧
鑑	鑑 鑒
閒	閒 間
閱	閱 閲
阬	阬 坑
陗	峭
陜	狹
靁	雷
鞌	鞍
鞵	鞋
韤	襪
頟	額
飤	飼
餠	餅
餻	糕
騈	駢
髕	臏
鬀	剃
魦	鯊
鮎	鮎 鯰
鰌	鰍
鱓	鱔
麞	獐
麪	麪 麵
鼃	蛙
鼈	鱉
齅	嗅
齩	咬
𠀁	七
𠁽	丸
𠂘	厄
𠂞	乎
𠃨	丮
𠄎	乃
𠄔	幻
𠄠	二
𠄡	五
𠄢	亘
𠅃	衣
𠆦	乍
𠆺	伭
𠈉	侃
𠈲	佸
𠉕	使
𠊖	例
𠊳	便
𠋛	脩
𠋿	侳
𠌸	偋
𠍧	俇
𠎥	借
𠎲	偆
𠎹	僾
𠏗	僚
𠐛	儇
𠐥	億
𠑎	僄
𠑗	僊
𠑤	傮
𠔌	谷
𠔏	共
𠕋	冊
𠕎	肉
𠙵	口
𠙹	甾
𠚣	刀
𠛬	刑
𠜂	刪
𠜊	列
𠜜	刮
𠝾	剛
𠞐	剉
𠞲	剺
𠟱	劃
𠠧	剽
𠢧	勝
𠢶	勦
𠣞	軍
𠣥	冢
𠥄	甚
𠦃	卅
𠦛	兵
𠨟	卷
𠪋	厚
𠪞	厝
𠪪	厜
𠮖	奱
𠮟	叱
𠮢	右
𠮱	吁
𠯏	吃
𠯶	句
𠰗	呼
𠳆	哉
𠶺	哽
𠷔	喪
𠷘	啾
𠹡	喤
𠻶	嗼
𡃥	啍
𡃫	嚴
𡄺	嘌
𡅿	嘾
𡇆	曶
𡇢	面
𡉛	圪
𡋳	垠
𡌮	培
𡍩	坼
𡍯	垔
𡍺	重
𡎩	埂
𡎹	埐
𡑊	埵
𡑏	壔
𡑿	墣
𡒣	墐
𡓑	埻
𡔊	塾
𡔲	壺
𡕍	壹
𡖍	夜
𡖰	迻
𡗓	立
𡗕	亦
𡘠	牢
𡘹	奄
𡙈	報
𡙌	泰
𡙕	執
𡙜	奪
𡚶	妄
𡜜	姍
𡜶	姡
𡞨	娀
𡡸	媊
𡡾	媚
𡡿	嫡
𡢴	嫽
𡣃	媦
𡣌	嫸
𡣱	嬛
𡤚	嫖
𡤼	孑
𡥅	存
𡥇	孛
𡧡	定
𡧺	官
𡨈	宣
𡩟	寅
𡪢	寑
𡭎	導
𡭔	小
𡭪	弁
𡰣	尸
𡲘	尿
𡲬	屈
𡳐	履
𡳿	之
𡴀	丰
𡴝	奏
𡶬	岡
𡹆	毒
𡽈	崛
𡽤	嶙
𡽽	熏
𡾑	嵯
𡾘	崞
𡿬	巟
𡿽	巡
𢂋	京
𢄁	業
𢄛	幬
𢅙	幘
𢅿	幠
𢆙	幷
𢆽	玅
𢉙	庶
𢋓	廑
𢌋	廡
𢌵	戒
𢍅	奐
𢍯	興
𢎣	弔
